time,ControlsOut.TS_current,CellVoltages.MinVoltage
776.5222,4.0610003,
776.5272,4.026,
776.5312,3.772,
776.5352,3.772,
776.5392,4.1340003,
776.5432,4.381,
776.5472,4.492,
776.5502,4.709,
776.5552,4.7710004,
776.5632,5.1270003,
776.5642,5.1270003,
776.5672,5.385,
776.5712,5.374,
776.5752,5.7070003,
776.5792,6.1930003,
776.5832,5.8190002,
776.5872,6.064,
776.5902,6.781,
776.5942,6.7250004,
776.5992,7.0330005,
776.6022,7.0330005,
776.6072,6.972,
776.6102,7.017,
776.6152,6.892,
776.6192,6.7650003,
776.6222,6.9560003,
776.6272,6.9140005,
776.6302,6.747,
776.6342,6.9400005,
776.6392,6.9400005,
776.6422,6.7330003,
776.6472,6.8750005,
776.6502,7.0060005,
776.6552,6.9040003,
776.6582,6.8300004,
776.6622,6.5940003,
776.6662,6.7700005,
776.6702,6.7700005,
776.6752,6.7700005,
776.6782,7.084,
776.6822,7.084,
776.6862,6.741,
776.6902,6.7980003,
776.6942,6.7170005,
776.6963,,3.3775
776.6992,6.7170005,
776.7032,6.9900002,
776.7072,6.9900002,
776.7102,6.485,
776.7152,6.637,
776.7182,6.6440005,
776.7232,7.3030005,
776.7272,6.9790006,
776.7302,6.926,
776.7342,6.9830003,
776.7392,6.991,
776.7422,6.991,
776.7472,7.0150003,
776.7512,6.9080005,
776.7542,6.866,
776.7592,7.0220003,
776.7642,6.9,
776.7672,7.0080004,
776.7702,7.0080004,
776.7752,6.9420004,
776.7792,6.6060004,
776.7822,6.6060004,
776.7872,6.7990003,
776.7902,6.61,
776.7952,6.61,
776.7992,6.6930003,
776.8032,6.3370004,
776.8072,6.681,
776.8102,6.7690005,
776.8152,6.4370003,
776.8192,5.418,
776.8222,5.826,
776.8272,6.688,
776.8312,6.688,
776.8352,6.4350004,
776.8392,7.0800004,
776.8432,6.9500003,
776.8472,6.8300004,
776.8502,6.636,
776.8552,6.636,
776.8592,6.735,
776.8642,6.5290003,
776.8662,6.623,
776.8702,6.623,
776.8752,6.623,
776.8792,6.623,
776.8822,6.505,
776.8872,6.591,
776.8902,6.1250005,
776.8942,5.9040003,
776.8978,,3.3704
776.8992,5.9040003,
776.9032,5.419,
776.9072,5.419,
776.9102,4.7310004,
776.9152,4.789,
776.9192,4.4890003,
776.9222,4.085,
776.9272,4.655,
776.9302,4.2660003,
776.9342,4.268,
776.9392,4.7110004,
776.9432,4.5730004,
776.9472,4.458,
776.9502,4.393,
776.9542,4.4750004,
776.9592,4.393,
776.9622,4.2310004,
776.9672,4.1990004,
776.9702,4.175,
776.9752,4.3510003,
776.9782,4.2310004,
776.9822,4.063,
776.9872,4.0270004,
776.9902,3.9340003,
776.9942,3.7200003,
776.9992,3.5730002,
777.0032,3.4310002,
777.0072,3.4310002,
777.0112,3.3690002,
777.0152,3.4290001,
777.0182,3.3230002,
777.0232,3.3520002,
777.0272,3.1690001,
777.0302,3.1690001,
777.0352,3.1620002,
777.0392,3.4800003,
777.0422,3.4480002,
777.0472,3.5820003,
777.0512,3.5130002,
777.0542,3.3730001,
777.0592,3.3350003,
777.0642,3.3130002,
777.0662,3.4,
777.0702,3.4,
777.0752,3.4,
777.0792,3.565,
777.0822,3.565,
777.0872,3.5200002,
777.0902,3.2740002,
777.0942,3.6060002,
777.0959,,3.371
777.0992,3.6060002,
777.1022,3.315,
777.1072,3.068,
777.1102,3.068,
777.1152,3.13,
777.1192,2.676,
777.1232,2.6190002,
777.1272,2.7050002,
777.1312,2.7050002,
777.1352,2.6030002,
777.1392,2.5640001,
777.1422,2.6480002,
777.1472,2.5890002,
777.1502,2.753,
777.1552,2.7470002,
777.1592,2.834,
777.1642,2.834,
777.1672,3.1090002,
777.1702,3.44,
777.1752,3.7840002,
777.1792,4.084,
777.1832,4.609,
777.1872,5.0080004,
777.1902,5.326,
777.1942,5.497,
777.1992,5.497,
777.2032,5.3240004,
777.2072,5.3240004,
777.2102,5.399,
777.2152,5.4740005,
777.2192,5.617,
777.2222,5.4830003,
777.2272,5.55,
777.2312,5.578,
777.2342,5.3970003,
777.2392,5.7400002,
777.2432,5.795,
777.2472,6.124,
777.2502,6.379,
777.2552,6.788,
777.2592,6.788,
777.2622,7.307,
777.2662,7.7660003,
777.2702,7.7660003,
777.2752,7.7660003,
777.2792,8.852,
777.2832,8.744,
777.2872,8.769,
777.2902,8.814,
777.2942,8.775001,
777.2962,,3.375
777.2992,8.775001,
777.3032,8.785001,
777.3072,8.629001,
777.3102,8.821,
777.3152,8.821,
777.3192,8.901,
777.3232,8.7300005,
