time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.5294,,,,3.9720998,,,-0.002,,,,
0.5294,3.9720998,3.9720864,,,3.9723477,0.0,,-0.002,0.38200003,-3.83938e-11,0.8670268
0.5334,,,,3.9720998,,,0.0050000004,,,,
0.5334,3.9720998,3.9720893,,,3.9723477,0.0,,0.0050000004,0.42400002,-4.0746996e-11,0.8670268
0.5374,,,,3.9720998,,,0.012,,,,
0.5374,3.9720998,3.9720902,,,3.9723477,0.0,,0.012,0.38200003,-4.583524e-11,0.8670268
0.5414,,,,3.9720998,,,0.008,,,,
0.5414,3.9720998,3.972092,,,3.9723477,0.0,,0.008,0.33900002,-4.8845556e-11,0.8670268
0.5454,,,,3.9720998,,,0.003,,,,
0.5454,3.9720998,3.9720943,,,3.9723477,0.0,,0.003,0.46600002,-5.039734e-11,0.8670268
0.5494,,,,3.9720998,,,-0.0050000004,,,,
0.5494,3.9720998,3.9720979,,,3.9723477,0.0,,-0.0050000004,0.21200001,-4.9220735e-11,0.8670268
0.5534,3.9720998,3.9720979,,,3.9723477,0.0,,0.009000001,0.21200001,-5.1338617e-11,0.8670268
0.5534,,,,3.9720998,,,0.009000001,,,,
0.5574,,,,3.9720998,,,0.001,,,,
0.5574,3.9720998,3.9720995,,,3.9723477,0.0,,0.001,0.29700002,-5.1668284e-11,0.8670268
0.5614,3.9720998,3.972102,,,3.9723477,0.0,,-0.003,0.33900002,-5.0539416e-11,0.8670268
0.5614,,,,3.9720998,,,-0.003,,,,
0.5654,,,,3.9720998,,,0.011000001,,,,
0.5654,3.9720998,3.972101,,,3.9723477,0.0,,0.011000001,0.33900002,-5.4678605e-11,0.8670268
0.5694,,,,3.9720998,,,-0.004,,,,
0.5694,3.9720998,3.9721034,,,3.9723477,0.0,,-0.004,0.551,-5.2232167e-11,0.8670268
0.5734,,,,3.9720998,,,0.002,,,,
0.5734,3.9720998,3.972104,,,3.9723477,0.0,,0.002,0.509,-5.3362145e-11,0.8670268
0.5774,3.9720998,3.9721029,,,3.9723477,0.0,,0.010000001,0.16900001,-5.5238043e-11,0.8670268
0.5774,,,,3.9720998,,,0.010000001,,,,
0.5814,,,,3.9720998,,,-0.011000001,,,,
0.5814,3.9720998,3.9721062,,,3.9723477,0.0,,-0.011000001,0.42400002,-5.0061004e-11,0.8670268
0.5854,,,,3.9720998,,,-0.011000001,,,,
0.5854,3.9720998,3.972109,,,3.9723477,0.0,,-0.011000001,0.42400002,-4.4883965e-11,0.8670268
0.5894,,,,3.9720998,,,-0.001,,,,
0.5894,3.9720998,3.9721093,,,3.9723477,0.0,,-0.001,0.21200001,-4.4648646e-11,0.8670268
0.5934,,,,3.9720998,,,0.007,,,,
0.5934,3.9720998,3.972108,,,3.9723477,0.0,,0.007,0.21200001,-4.6295884e-11,0.8670268
0.5974,,,,3.9720998,,,0.009000001,,,,
0.5974,3.9720998,3.9721062,,,3.9723477,0.0,,0.009000001,0.29700002,-4.9262913e-11,0.8670268
0.6014,3.9720998,3.9721072,,,3.9723477,0.0,,-0.002,0.59400004,-4.7944235e-11,0.8670268
0.6014,,,,3.9720998,,,-0.002,,,,
0.6054,,,,3.9720998,,,-0.002,,,,
0.6054,3.9720998,3.972108,,,3.9723477,0.0,,-0.002,0.33900002,-4.7191657e-11,0.8670268
0.6094,,,,3.9720998,,,-0.004,,,,
0.6094,3.9720998,3.972109,,,3.9723477,0.0,,-0.004,0.42400002,-4.5309093e-11,0.8670268
0.6144,3.9720998,3.972109,,,3.9723477,0.0,,0.001,0.33900002,-4.5685386e-11,0.8670268
